"Horodateur","Avez-vous déjà contracté un prêt ou un crédit  auprès d'une banque ou d'une institution de microfinance au Gabon ?","Concernant le prêt que vous avez contracté, vous est-il déjà arrivé d'avoir des retards de paiement de plus de 3 mois ?"," Quel était le montant total (principal) de votre prêt ?","Quelle était la durée prévue pour le remboursement de votre prêt ?","Votre prêt a-t-il été accordé avec une garantie ?
 (Ex : une hypothèque sur une maison, un nantissement sur un bien, une caution d'une personne)","Quel type de prêt (crédit) avez-vous contracté ?","Quel est votre revenu mensuel moyen net ?","Au moment d'obtenir ce prêt, quel était votre âge ?","Au moment d'obtenir ce prêt, quel était votre statut professionnel ?","Avez-vous déjà eu un historique de problèmes de paiement sur d'autres crédits ou dettes par le passé ?"
"2025/11/02 7:59:38 PM UTC+1","Non","","","","","","","","",""
"2025/11/02 8:01:15 PM UTC+1","Non","","","","","","","","",""
"2025/11/02 8:03:11 PM UTC+1","Non","","","","","","","","",""
"2025/11/02 8:07:36 PM UTC+1","oui","Non, j'ai toujours remboursé mon prêt dans les délais","Moins de 1.000.000 FCFA","Entre 1 et 5 ans","Oui","Prêt immobilier (pour acheter un terrain ou une maison)","Entre 200.000 et 500.000 FCFA","Entre 25 et 35 ans","Salarié(e) du secteur privé","Non"
"2025/11/02 8:08:27 PM UTC+1","oui","Non, j'ai toujours remboursé mon prêt dans les délais","Moins de 1.000.000 FCFA","Moins de 1 an","Oui","Prêt professionnel (pour financer une activité)","Entre 200.000 et 500.000 FCFA","Entre 25 et 35 ans","Étudiante ","Non"
"2025/11/02 8:09:11 PM UTC+1","Non","","","","","","","","",""
"2025/11/02 8:11:05 PM UTC+1","Non","","","","","","","","",""
"2025/11/02 8:11:10 PM UTC+1","Non","","","","","","","","",""
"2025/11/02 8:13:41 PM UTC+1","oui","Non, j'ai toujours remboursé mon prêt dans les délais","Entre 1.000.000 et 5.000.000 FCFA","Entre 1 et 5 ans","Oui","Prêt professionnel (pour financer une activité)","Entre 200.000 et 500.000 FCFA","Entre 25 et 35 ans","Salarié(e) du secteur privé","Non"
"2025/11/02 8:14:46 PM UTC+1","Non","","","","","","","","",""
"2025/11/02 8:15:41 PM UTC+1","Non","","","","","","","","",""
"2025/11/02 8:16:19 PM UTC+1","Non","","","","","","","","",""
"2025/11/02 8:16:30 PM UTC+1","oui","Non, j'ai toujours remboursé mon prêt dans les délais","Entre 1.000.000 et 5.000.000 FCFA","Entre 1 et 5 ans","Oui","Prêt professionnel (pour financer une activité)","Moins de 200.000 FCFA","Entre 25 et 35 ans","Travailleur indépendant / Entrepreneur","Non"
"2025/11/02 8:16:47 PM UTC+1","Non","","","","","","","","",""
"2025/11/02 8:17:02 PM UTC+1","Non","","","","","","","","",""
"2025/11/02 8:17:47 PM UTC+1","Non","","","","","","","","",""
"2025/11/02 8:17:56 PM UTC+1","Non","","","","","","","","",""
"2025/11/02 8:22:31 PM UTC+1","Non","","","","","","","","",""
"2025/11/02 8:22:48 PM UTC+1","Non","","","","","","","","",""
"2025/11/02 8:23:15 PM UTC+1","Non","","","","","","","","",""
"2025/11/02 8:24:05 PM UTC+1","Non","","","","","","","","",""
"2025/11/02 8:24:16 PM UTC+1","Non","","","","","","","","",""
"2025/11/02 8:24:40 PM UTC+1","Non","","","","","","","","",""
"2025/11/02 8:32:19 PM UTC+1","Non","","","","","","","","",""
"2025/11/02 8:32:55 PM UTC+1","Non","","","","","","","","",""
"2025/11/02 8:33:00 PM UTC+1","Non","","","","","","","","",""
"2025/11/02 8:34:56 PM UTC+1","Non","","","","","","","","",""
"2025/11/02 8:35:20 PM UTC+1","Non","","","","","","","","",""
"2025/11/02 8:44:02 PM UTC+1","Non","","","","","","","","",""
"2025/11/02 8:53:20 PM UTC+1","oui","Non, j'ai toujours remboursé mon prêt dans les délais","Entre 1.000.000 et 5.000.000 FCFA","Entre 1 et 5 ans","Oui","Prêt immobilier (pour acheter un terrain ou une maison)","Moins de 200.000 FCFA","Moins de 25 ans","Salarié(e) du secteur privé","Non"
"2025/11/02 8:54:36 PM UTC+1","Non","","","","","","","","",""
"2025/11/02 8:59:22 PM UTC+1","Non","","","","","","","","",""
"2025/11/02 9:11:51 PM UTC+1","Non","","","","","","","","",""
"2025/11/02 9:12:00 PM UTC+1","Non","","","","","","","","",""
"2025/11/02 9:19:03 PM UTC+1","oui","Oui, cela m'est arrivé","Moins de 1.000.000 FCFA","Entre 1 et 5 ans","Oui","Prêt immobilier (pour acheter un terrain ou une maison)","Moins de 200.000 FCFA","Entre 25 et 35 ans","Travailleur indépendant / Entrepreneur","Non"
"2025/11/02 9:58:48 PM UTC+1","Non","","","","","","","","",""
"2025/11/02 10:03:45 PM UTC+1","Non","","","","","","","","",""
"2025/11/02 10:10:45 PM UTC+1","Non","","","","","","","","",""
"2025/11/02 10:19:34 PM UTC+1","oui","Non, j'ai toujours remboursé mon prêt dans les délais","Entre 1.000.000 et 5.000.000 FCFA","Entre 1 et 5 ans","Non","Prêt professionnel (pour financer une activité)","Entre 500.000 et 1.000.000 FCFA","Entre 46 et 55 ans","Fonctionnaire","Non"
"2025/11/02 10:29:46 PM UTC+1","Non","","","","","","","","",""
"2025/11/02 11:30:45 PM UTC+1","Non","","","","","","","","",""
"2025/11/02 11:56:40 PM UTC+1","oui","Oui, cela m'est arrivé","Entre 1.000.000 et 5.000.000 FCFA","Moins de 1 an","Oui","Prêt à la consommation (pour un achat, un voyage, des travaux ...)","Moins de 200.000 FCFA","Entre 25 et 35 ans","Travailleur indépendant / Entrepreneur","Non"
"2025/11/03 12:16:44 AM UTC+1","Non","","","","","","","","",""
"2025/11/03 5:24:07 AM UTC+1","oui","Non, j'ai toujours remboursé mon prêt dans les délais","Entre 1.000.000 et 5.000.000 FCFA","Entre 1 et 5 ans","Non","Prêt à la consommation (pour un achat, un voyage, des travaux ...)","Entre 200.000 et 500.000 FCFA","Entre 36 et 45 ans","Fonctionnaire","Oui"
"2025/11/03 6:34:48 AM UTC+1","Non","","","","","","","","",""
"2025/11/03 7:02:51 AM UTC+1","Non","","","","","","","","",""
"2025/11/03 7:04:09 AM UTC+1","Non","","","","","","","","",""
"2025/11/03 9:40:41 AM UTC+1","Non","","","","","","","","",""
"2025/11/03 10:19:22 AM UTC+1","Non","","","","","","","","",""
"2025/11/03 10:39:31 AM UTC+1","Non","","","","","","","","",""
"2025/11/03 1:25:39 PM UTC+1","Non","","","","","","","","",""
"2025/11/03 3:53:14 PM UTC+1","Non","","","","","","","","",""
"2025/11/03 6:14:41 PM UTC+1","Non","","","","","","","","",""
"2025/11/04 2:53:29 PM UTC+1","Non","","","","","","","","",""
"2025/11/04 6:45:09 PM UTC+1","oui","Oui, cela m'est arrivé","Entre 1.000.000 et 5.000.000 FCFA","Entre 1 et 5 ans","Oui","Prêt à la consommation (pour un achat, un voyage, des travaux ...)","Entre 200.000 et 500.000 FCFA","Entre 25 et 35 ans","Travailleur indépendant / Entrepreneur","Non"
"2025/11/04 9:14:48 PM UTC+1","oui","Non, j'ai toujours remboursé mon prêt dans les délais","Plus de 10.000.000 FCFA","Entre 1 et 5 ans","Non","Prêt immobilier (pour acheter un terrain ou une maison)","Plus de 1.000.000 FCFA","Entre 46 et 55 ans","Salarié(e) du secteur privé","Non"
"2025/11/05 11:46:13 AM UTC+1","oui","Non, j'ai toujours remboursé mon prêt dans les délais","Entre 5.000.000 et 10.000.000 FCFA","Entre 1 et 5 ans","Oui","Prêt immobilier (pour acheter un terrain ou une maison)","Entre 500.000 et 1.000.000 FCFA","Entre 46 et 55 ans","Salarié(e) du secteur privé","Non"
"2025/11/05 2:36:58 PM UTC+1","oui","Oui, cela m'est arrivé","Moins de 1.000.000 FCFA","Moins de 1 an","Non","Prêt à la consommation (pour un achat, un voyage, des travaux ...)","Moins de 200.000 FCFA","Moins de 25 ans","Fonctionnaire","Oui"
"2025/11/05 2:41:09 PM UTC+1","oui","Non, j'ai toujours remboursé mon prêt dans les délais","Entre 5.000.000 et 10.000.000 FCFA","Entre 1 et 5 ans","Non","Prêt professionnel (pour financer une activité)","Plus de 1.000.000 FCFA","Entre 36 et 45 ans","Salarié(e) du secteur privé","Oui"
"2025/11/05 3:08:46 PM UTC+1","Non","","","","","","","","",""
"2025/11/05 3:21:14 PM UTC+1","Non","","","","","","","","",""
